Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
KAN,2003,31,Priest Holmes,30,RB,16,16,213,5-9,Texas,10/7/1973,6,20,
KAN,2003,41,Darrius Johnson,30,DB,2,0,185,5-9,Oklahoma,5/18/1973,7,0,Denver Broncos / 4th / 122nd pick /1996
KAN,2003,34,Larry Johnson,24,RB,6,0,235,6-1,Penn St.,11/19/1979,Rook,1,Kansas City Chiefs / 1st / 27th pick /2003
KAN,2003,53,Fred Jones,26,LB,11,0,247,6-2,Colorado,10/18/1977,3,1,
KAN,2003,87,Eddie Kennison,30,WR,16,16,201,6-1,LSU,1/20/1973,7,10,St. Louis Rams / 1st / 18th pick /1996
KAN,2003,57,Mike Maslowski,29,MLB,10,10,243,6-1,Wisconsin–LaCrosse,7/11/1974,4,4,
KAN,2003,22,Dexter McCleon,30,RCB,16,16,195,5-10,Clemson,10/9/1973,6,8,St. Louis Rams / 2nd / 40th pick /1997
KAN,2003,50,Kawika Mitchell,24,MLB,12,6,253,6-1,"Georgia,South Florida",10/10/1979,Rook,3,Kansas City Chiefs / 2nd / 47th pick /2003
KAN,2003,80,Johnnie Morton,32,WR,16,16,190,6-0,USC,10/7/1971,9,10,Detroit Lions / 1st / 21st pick /1994
KAN,2003,97,Allen Reese,23,DT,2,0,294,5-10,Kansas St.,10/10/1980,Rook,0,
KAN,2003,49,Tony Richardson,32,FB,16,10,238,6-1,Auburn,12/17/1971,8,1,
KAN,2003,77,Willie Roaf,33,LT,16,16,320,6-5,Louisiana Tech,4/18/1970,10,15,New Orleans Saints / 1st / 8th pick /1993
KAN,2003,61,Montique Sharpe,23,DT,5,0,296,6-2,Wake Forest,3/10/1980,Rook,0,Kansas City Chiefs / 7th / 230th pick /2003
KAN,2003,68,Will Shields,32,RG,16,16,315,6-3,Nebraska,9/15/1971,10,15,Kansas City Chiefs / 3rd / 74th pick /1993
KAN,2003,90,Ryan Sims,23,RDT,16,16,315,6-4,North Carolina,5/4/1980,1,7,Kansas City Chiefs / 1st / 6th pick /2002
KAN,2003,70,Marcus Spears,32,T,15,0,320,6-4,Northwestern St. (LA),9/28/1971,7,1,Chicago Bears / 2nd / 39th pick /1994
KAN,2003,55,Gary Stills,29,DE,16,0,250,6-2,West Virginia,7/11/1974,4,5,Kansas City Chiefs / 3rd / 75th pick /1999
KAN,2003,76,John Tait,28,RT,16,16,312,6-6,BYU,1/26/1975,4,8,Kansas City Chiefs / 1st / 14th pick /1999
KAN,2003,91,R-Kal Truluck,29,DE,14,0,255,6-4,Cortland St.,9/30/1974,1,1,
KAN,2003,84,LaShaun Ward,23,WR,1,0,198,5-11,California,9/22/1980,Rook,0,
KAN,2003,44,Eric Warfield,27,LCB,15,15,200,6-0,Nebraska,3/3/1976,5,6,Kansas City Chiefs / 7th / 216th pick /1998
KAN,2003,54,Brian Waters,26,LG,16,16,320,6-3,North Texas,2/18/1977,3,8,
KAN,2003,25,Greg Wesley,25,SS,16,16,206,6-2,Ark-Pine Bluff,3/19/1978,3,7,Kansas City Chiefs / 3rd / 85th pick /2000
KAN,2003,30,Lyle West,27,DB,13,0,210,6-0,"Chabot,San Jose St.",12/20/1976,4,1,New York Giants / 6th / 189th pick /1999
KAN,2003,62,Casey Wiegmann,30,C,16,16,285,6-2,Iowa,7/20/1973,6,8,
KAN,2003,66,Jimmy Wilkerson,22,DE,12,0,270,6-2,Oklahoma,1/4/1981,Rook,1,Kansas City Chiefs / 6th / 189th pick /2003
KAN,2003,60,Donald Willis,30,G,16,0,325,6-3,"Washington,North Carolina A&T",7/15/1973,7,1,
KAN,2003,21,Jerome Woods,30,FS,16,16,205,6-3,Memphis,3/17/1973,7,9,Kansas City Chiefs / 1st / 28th pick /1996
