Draft_Year,Team,Current_Round_1_Picks,Current_Round_2_Picks,Current_Round_3_Picks,Current_Round_4_Picks,Current_Round_5_Picks,Current_Round_6_Picks,Current_Round_7Plus_Picks,Prev_1Yr_Round_1_Picks,Prev_1Yr_Round_2_Picks,Prev_1Yr_Round_3_Picks,Prev_1Yr_Round_4_Picks,Prev_1Yr_Round_5_Picks,Prev_1Yr_Round_6_Picks,Prev_1Yr_Round_7Plus_Picks,Prev_2Yr_Round_1_Picks,Prev_2Yr_Round_2_Picks,Prev_2Yr_Round_3_Picks,Prev_2Yr_Round_4_Picks,Prev_2Yr_Round_5_Picks,Prev_2Yr_Round_6_Picks,Prev_2Yr_Round_7Plus_Picks,Prev_3Yr_Round_1_Picks,Prev_3Yr_Round_2_Picks,Prev_3Yr_Round_3_Picks,Prev_3Yr_Round_4_Picks,Prev_3Yr_Round_5_Picks,Prev_3Yr_Round_6_Picks,Prev_3Yr_Round_7Plus_Picks,Prev_4Yr_Round_1_Picks
1971,phi,1,1,0,1,1,2,11,1,1,1,0,0,0,11,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0
1971,pit,1,1,1,2,4,1,12,1,1,1,2,1,2,11,1,2,1,1,0,0,12,0,0,0,0,0,0,0,0
1971,rai,1,1,1,1,1,1,11,1,1,1,1,1,1,11,1,1,1,1,0,2,9,0,0,0,0,0,0,0,0
1971,ram,3,1,2,2,1,1,22,2,3,2,2,2,1,24,4,1,2,2,2,3,21,0,0,0,0,0,0,0,0
1971,rav,2,1,1,0,1,1,12,1,1,2,1,1,1,11,1,2,1,1,1,1,13,0,0,0,0,0,0,0,0
1971,sdg,1,0,1,0,3,1,11,1,1,0,1,1,1,11,2,1,1,0,1,1,10,0,0,0,0,0,0,0,0
1971,sfo,1,2,2,1,3,1,12,2,1,0,1,1,1,11,2,0,0,2,1,1,11,0,0,0,0,0,0,0,0
1971,was,0,1,0,0,0,1,9,0,1,0,1,2,0,11,0,1,1,0,1,1,10,0,0,0,0,0,0,0,0
1972,atl,1,3,1,1,2,2,10,1,1,1,1,1,2,11,1,1,2,1,2,3,12,1,1,2,2,1,1,11,0
1972,buf,1,1,1,1,2,0,10,1,1,2,0,2,1,11,1,1,2,1,1,2,11,1,1,1,1,1,0,11,0
1972,chi,2,0,1,0,1,1,12,1,2,2,1,0,1,12,0,0,1,2,0,2,10,1,1,1,1,1,1,11,0
1972,cin,1,1,1,1,1,0,11,1,1,1,1,1,0,11,1,1,1,2,0,1,11,1,1,1,1,1,1,11,0
1972,cle,1,2,0,0,2,1,12,1,1,2,1,1,2,11,2,2,0,1,1,1,11,1,0,2,1,1,2,11,0
1972,dal,1,3,2,3,0,1,10,1,1,2,2,1,1,11,1,2,3,1,0,1,11,1,1,2,0,1,1,11,0
1972,den,1,0,1,1,1,0,10,1,1,0,2,0,1,11,1,1,1,1,1,1,11,0,1,1,2,1,2,10,0
1972,det,1,0,1,0,0,1,11,1,2,1,1,1,2,10,1,1,1,0,1,1,10,0,2,1,0,0,0,11,0
1972,gnb,2,1,0,1,0,3,9,1,1,1,0,2,1,12,2,1,1,2,1,1,12,1,1,1,1,1,2,11,0
1972,kan,1,0,0,1,1,1,11,1,2,0,1,1,1,11,1,1,2,0,1,1,11,1,1,1,1,1,1,12,0
1972,mia,1,0,1,2,1,1,11,0,1,1,1,0,1,10,0,1,1,1,0,1,11,1,1,1,1,2,1,12,0
1972,min,1,1,1,0,0,1,11,1,0,1,1,0,0,11,1,1,1,0,1,0,11,0,2,0,1,3,1,9,0
1972,nor,1,1,2,3,3,2,11,1,1,1,4,0,1,13,1,0,1,1,2,1,11,1,1,0,2,2,1,10,0
1972,nwe,0,1,1,0,1,0,12,1,1,0,0,1,1,9,1,0,1,1,1,0,10,1,1,1,0,1,0,12,0
1972,nyg,2,0,2,0,2,1,11,1,1,1,1,0,0,10,1,0,0,1,1,1,9,1,0,1,1,0,0,11,0
1972,nyj,2,0,1,1,1,1,10,1,1,1,1,0,1,11,1,1,1,1,2,1,12,1,1,0,1,1,1,11,0
1972,oti,1,0,2,0,0,2,11,1,0,1,1,1,1,11,1,2,0,1,2,1,11,1,1,2,2,1,1,12,0
1972,phi,1,1,2,1,0,1,11,1,1,0,1,1,2,11,1,1,1,0,0,0,11,1,1,1,1,1,1,13,0
1972,pit,1,1,1,2,1,1,13,1,1,1,2,4,1,12,1,1,1,2,1,2,11,1,2,1,1,0,0,12,0
1972,rai,1,2,1,2,0,1,13,1,1,1,1,1,1,11,1,1,1,1,1,1,11,1,1,1,1,0,2,9,0
1972,ram,1,2,2,4,3,2,23,3,1,2,2,1,1,22,2,3,2,2,2,1,24,4,1,2,2,2,3,21,0
1972,rav,1,3,0,1,1,1,12,2,1,1,0,1,1,12,1,1,2,1,1,1,11,1,2,1,1,1,1,13,0
1972,sdg,0,1,1,0,2,1,10,1,0,1,0,3,1,11,1,1,0,1,1,1,11,2,1,1,0,1,1,10,0
1972,sfo,1,2,1,1,1,1,11,1,2,2,1,3,1,12,2,1,0,1,1,1,11,2,0,0,2,1,1,11,0
1972,was,0,0,0,0,0,0,10,0,1,0,0,0,1,9,0,1,0,1,2,0,11,0,1,1,0,1,1,10,0
1973,atl,0,1,0,1,0,1,11,1,3,1,1,2,2,10,1,1,1,1,1,2,11,1,1,2,1,2,3,12,1
1973,buf,2,1,2,2,1,1,12,1,1,1,1,2,0,10,1,1,2,0,2,1,11,1,1,2,1,1,2,11,1
1973,chi,1,2,0,0,1,1,10,2,0,1,0,1,1,12,1,2,2,1,0,1,12,0,0,1,2,0,2,10,1
1973,cin,1,1,1,0,1,1,11,1,1,1,1,1,0,11,1,1,1,1,1,0,11,1,1,1,2,0,1,11,1
1973,cle,2,2,1,2,0,1,9,1,2,0,0,2,1,12,1,1,2,1,1,2,11,2,2,0,1,1,1,11,1
1973,dal,1,1,1,1,1,1,11,1,3,2,3,0,1,10,1,1,2,2,1,1,11,1,2,3,1,0,1,11,1
1973,den,1,1,2,1,1,0,13,1,0,1,1,1,0,10,1,1,0,2,0,1,11,1,1,1,1,1,1,11,0
1973,det,1,1,3,3,0,0,12,1,0,1,0,0,1,11,1,2,1,1,1,2,10,1,1,1,0,1,1,10,0
1973,gnb,1,0,1,0,0,1,11,2,1,0,1,0,3,9,1,1,1,0,2,1,12,2,1,1,2,1,1,12,1
1973,kan,0,1,1,1,1,1,10,1,0,0,1,1,1,11,1,2,0,1,1,1,11,1,1,2,0,1,1,11,1
1973,mia,0,1,1,1,2,1,14,1,0,1,2,1,1,11,0,1,1,1,0,1,10,0,1,1,1,0,1,11,1
1973,min,1,1,1,1,1,2,12,1,1,1,0,0,1,11,1,0,1,1,0,0,11,1,1,1,0,1,0,11,0
1973,nor,0,2,1,1,0,1,12,1,1,2,3,3,2,11,1,1,1,4,0,1,13,1,0,1,1,2,1,11,1
1973,nwe,3,0,2,1,1,0,10,0,1,1,0,1,0,12,1,1,0,0,1,1,9,1,0,1,1,1,0,10,1
1973,nyg,0,1,1,0,1,1,11,2,0,2,0,2,1,11,1,1,1,1,0,0,10,1,0,0,1,1,1,9,1
1973,nyj,1,1,0,1,1,2,12,2,0,1,1,1,1,10,1,1,1,1,0,1,11,1,1,1,1,2,1,12,1
1973,oti,2,0,0,1,1,1,11,1,0,2,0,0,2,11,1,0,1,1,1,1,11,1,2,0,1,2,1,11,1
1973,phi,2,1,1,0,0,1,10,1,1,2,1,0,1,11,1,1,0,1,1,2,11,1,1,1,0,0,0,11,1
1973,pit,1,1,1,1,2,2,12,1,1,1,2,1,1,13,1,1,1,2,4,1,12,1,1,1,2,1,2,11,1
1973,rai,1,1,0,2,2,1,10,1,2,1,2,0,1,13,1,1,1,1,1,1,11,1,1,1,1,1,1,11,1
1973,ram,1,4,3,2,3,4,24,1,2,2,4,3,2,23,3,1,2,2,1,1,22,2,3,2,2,2,1,24,4
1973,rav,2,1,2,2,1,0,9,1,3,0,1,1,1,12,2,1,1,0,1,1,12,1,1,2,1,1,1,11,1
1973,sdg,1,0,1,2,2,1,9,0,1,1,0,2,1,10,1,0,1,0,3,1,11,1,1,0,1,1,1,11,2
1973,sfo,1,1,0,0,2,1,11,1,2,1,1,1,1,11,1,2,2,1,3,1,12,2,1,0,1,1,1,11,2
1973,was,0,0,0,0,1,0,9,0,0,0,0,0,0,10,0,1,0,0,0,1,9,0,1,0,1,2,0,11,0
1974,atl,0,1,2,1,2,1,10,0,1,0,1,0,1,11,1,3,1,1,2,2,10,1,1,1,1,1,2,11,1
1974,buf,1,1,1,1,2,0,12,2,1,2,2,1,1,12,1,1,1,1,2,0,10,1,1,2,0,2,1,11,1
1974,chi,2,0,3,0,0,0,10,1,2,0,0,1,1,10,2,0,1,0,1,1,12,1,2,2,1,0,1,12,0
1974,cin,1,1,2,3,2,2,11,1,1,1,0,1,1,11,1,1,1,1,1,0,11,1,1,1,1,1,0,11,1
1974,cle,0,1,0,0,1,1,12,2,2,1,2,0,1,9,1,2,0,0,2,1,12,1,1,2,1,1,2,11,2
1974,dal,2,0,2,2,1,1,11,1,1,1,1,1,1,11,1,3,2,3,0,1,10,1,1,2,2,1,1,11,1
1974,den,1,1,1,1,0,1,8,1,1,2,1,1,0,13,1,0,1,1,1,0,10,1,1,0,2,0,1,11,1
1974,det,1,1,1,0,1,2,10,1,1,3,3,0,0,12,1,0,1,0,0,1,11,1,2,1,1,1,2,10,1
1974,gnb,1,0,0,0,1,2,12,1,0,1,0,0,1,11,2,1,0,1,0,3,9,1,1,1,0,2,1,12,2
1974,kan,1,1,1,1,0,1,10,0,1,1,1,1,1,10,1,0,0,1,1,1,11,1,2,0,1,1,1,11,1
1974,mia,1,3,1,1,1,2,13,0,1,1,1,2,1,14,1,0,1,2,1,1,11,0,1,1,1,0,1,10,0
1974,min,2,2,2,1,1,1,11,1,1,1,1,1,2,12,1,1,1,0,0,1,11,1,0,1,1,0,0,11,1
1974,nor,1,1,0,1,2,0,11,0,2,1,1,0,1,12,1,1,2,3,3,2,11,1,1,1,4,0,1,13,1
1974,nwe,0,2,0,0,2,1,9,3,0,2,1,1,0,10,0,1,1,0,1,0,12,1,1,0,0,1,1,9,1
1974,nyg,1,1,1,1,2,1,11,0,1,1,0,1,1,11,2,0,2,0,2,1,11,1,1,1,1,0,0,10,1
1974,nyj,1,1,2,0,1,2,14,1,1,0,1,1,2,12,2,0,1,1,1,1,10,1,1,1,1,0,1,11,1
1974,oti,0,0,0,1,0,1,8,2,0,0,1,1,1,11,1,0,2,0,0,2,11,1,0,1,1,1,1,11,1
1974,phi,0,0,1,1,2,0,11,2,1,1,0,0,1,10,1,1,2,1,0,1,11,1,1,0,1,1,2,11,1
1974,pit,1,1,0,2,1,2,14,1,1,1,1,2,2,12,1,1,1,2,1,1,13,1,1,1,2,4,1,12,1
1974,rai,1,1,1,1,1,1,10,1,1,0,2,2,1,10,1,2,1,2,0,1,13,1,1,1,1,1,1,11,1
1974,ram,2,2,2,4,1,0,19,1,4,3,2,3,4,24,1,2,2,4,3,2,23,3,1,2,2,1,1,22,2
1974,rav,2,2,2,1,1,1,16,2,1,2,2,1,0,9,1,3,0,1,1,1,12,2,1,1,0,1,1,12,1
1974,sdg,2,1,1,1,1,1,12,1,0,1,2,2,1,9,0,1,1,0,2,1,10,1,0,1,0,3,1,11,1
1974,sfo,2,2,0,2,0,1,11,1,1,0,0,2,1,11,1,2,1,1,1,1,11,1,2,2,1,3,1,12,2
1974,was,0,0,0,0,0,1,10,0,0,0,0,1,0,9,0,0,0,0,0,0,10,0,1,0,0,0,1,9,0
1975,atl,1,1,1,1,1,2,11,0,1,2,1,2,1,10,0,1,0,1,0,1,11,1,3,1,1,2,2,10,1
1975,buf,1,2,0,1,1,0,12,1,1,1,1,2,0,12,2,1,2,2,1,1,12,1,1,1,1,2,0,10,1
1975,chi,1,1,0,1,1,2,11,2,0,3,0,0,0,10,1,2,0,0,1,1,10,2,0,1,0,1,1,12,1
1975,cin,1,1,3,1,2,2,12,1,1,2,3,2,2,11,1,1,1,0,1,1,11,1,1,1,1,1,0,11,1
1975,cle,1,0,1,1,2,2,12,0,1,0,0,1,1,12,2,2,1,2,0,1,9,1,2,0,0,2,1,12,1
1975,dal,2,1,1,2,1,1,11,2,0,2,2,1,1,11,1,1,1,1,1,1,11,1,3,2,3,0,1,10,1
1975,den,1,1,2,2,2,0,10,1,1,1,1,0,1,8,1,1,2,1,1,0,13,1,0,1,1,1,0,10,1
1975,det,1,1,0,1,0,3,11,1,1,1,0,1,2,10,1,1,3,3,0,0,12,1,0,1,0,0,1,11,1
1975,gnb,0,1,1,1,0,0,10,1,0,0,0,1,2,12,1,0,1,0,0,1,11,2,1,0,1,0,3,9,1
1975,kan,0,1,1,0,0,2,7,1,1,1,1,0,1,10,0,1,1,1,1,1,10,1,0,0,1,1,1,11,1
1975,mia,1,2,1,1,2,1,14,1,3,1,1,1,2,13,0,1,1,1,2,1,14,1,0,1,2,1,1,11,0
1975,min,1,1,0,2,1,1,11,2,2,2,1,1,1,11,1,1,1,1,1,2,12,1,1,1,0,0,1,11,1
1975,nor,2,1,2,2,0,1,10,1,1,0,1,2,0,11,0,2,1,1,0,1,12,1,1,2,3,3,2,11,1
1975,nwe,1,1,1,2,2,0,9,0,2,0,0,2,1,9,3,0,2,1,1,0,10,0,1,1,0,1,0,12,1
1975,nyg,0,1,1,1,0,0,10,1,1,1,1,2,1,11,0,1,1,0,1,1,11,2,0,2,0,2,1,11,1
1975,nyj,0,1,1,0,1,1,10,1,1,2,0,1,2,14,1,1,0,1,1,2,12,2,0,1,1,1,1,10,1
1975,oti,2,1,0,0,0,1,12,0,0,0,1,0,1,8,2,0,0,1,1,1,11,1,0,2,0,0,2,11,1
1975,phi,0,0,0,0,0,0,10,0,0,1,1,2,0,11,2,1,1,0,0,1,10,1,1,2,1,0,1,11,1
1975,pit,1,1,1,1,1,1,15,1,1,0,2,1,2,14,1,1,1,1,2,2,12,1,1,1,2,1,1,13,1
1975,rai,1,1,1,0,1,0,6,1,1,1,1,1,1,10,1,1,0,2,2,1,10,1,2,1,2,0,1,13,1
1975,ram,4,3,2,1,3,2,21,2,2,2,4,1,0,19,1,4,3,2,3,4,24,1,2,2,4,3,2,23,3
1975,rav,1,0,2,2,1,1,19,2,2,2,1,1,1,16,2,1,2,2,1,0,9,1,3,0,1,1,1,12,2
1975,sdg,2,2,1,1,2,2,14,2,1,1,1,1,1,12,1,0,1,2,2,1,9,0,1,1,0,2,1,10,1
1975,sfo,1,1,3,2,1,0,10,2,2,0,2,0,1,11,1,1,0,0,2,1,11,1,2,1,1,1,1,11,1
1975,was,0,0,0,0,1,1,8,0,0,0,0,0,1,10,0,0,0,0,1,0,9,0,0,0,0,0,0,10,0
1976,atl,1,1,1,1,0,1,10,1,1,1,1,1,2,11,0,1,2,1,2,1,10,0,1,0,1,0,1,11,1
1976,buf,1,2,1,1,1,3,14,1,2,0,1,1,0,12,1,1,1,1,2,0,12,2,1,2,2,1,1,12,1
1976,chi,1,0,1,2,0,1,8,1,1,0,1,1,2,11,2,0,3,0,0,0,10,1,2,0,0,1,1,10,2
1976,cin,2,2,2,2,2,1,13,1,1,3,1,2,2,12,1,1,2,3,2,2,11,1,1,1,0,1,1,11,1
1976,cle,1,0,1,2,1,0,10,1,0,1,1,2,2,12,0,1,0,0,1,1,12,2,2,1,2,0,1,9,1
1976,dal,1,2,3,1,1,1,12,2,1,1,2,1,1,11,2,0,2,2,1,1,11,1,1,1,1,1,1,11,1
1976,den,1,1,0,1,1,0,11,1,1,2,2,2,0,10,1,1,1,1,0,1,8,1,1,2,1,1,0,13,1
1976,det,2,2,2,0,1,0,12,1,1,0,1,0,3,11,1,1,1,0,1,2,10,1,1,3,3,0,0,12,1
1976,gnb,1,0,1,1,1,0,10,0,1,1,1,0,0,10,1,0,0,0,1,2,12,1,0,1,0,0,1,11,2
1976,kan,1,1,3,0,2,3,11,0,1,1,0,0,2,7,1,1,1,1,0,1,10,0,1,1,1,1,1,10,1
1976,mia,2,1,1,1,0,1,14,1,2,1,1,2,1,14,1,3,1,1,1,2,13,0,1,1,1,2,1,14,1
1976,min,1,1,1,1,2,1,10,1,1,0,2,1,1,11,2,2,2,1,1,1,11,1,1,1,1,1,2,12,1
1976,nor,1,1,1,1,1,1,11,2,1,2,2,0,1,10,1,1,0,1,2,0,11,0,2,1,1,0,1,12,1
1976,nwe,3,1,0,0,0,1,11,1,1,1,2,2,0,9,0,2,0,0,2,1,9,3,0,2,1,1,0,10,0
1976,nyg,1,0,0,2,1,1,9,0,1,1,1,0,0,10,1,1,1,1,2,1,11,0,1,1,0,1,1,11,2
1976,nyj,1,1,1,0,1,1,12,0,1,1,0,1,1,10,1,1,2,0,1,2,14,1,1,0,1,1,2,12,2
1976,oti,0,1,0,1,0,1,11,2,1,0,0,0,1,12,0,0,0,1,0,1,8,2,0,0,1,1,1,11,1
1976,phi,0,0,0,1,1,1,12,0,0,0,0,0,0,10,0,0,1,1,2,0,11,2,1,1,0,0,1,10,1
1976,pit,1,3,2,2,1,2,11,1,1,1,1,1,1,15,1,1,0,2,1,2,14,1,1,1,1,2,2,12,1
1976,rai,0,2,1,1,1,0,13,1,1,1,0,1,0,6,1,1,1,1,1,1,10,1,1,0,2,2,1,10,1
1976,ram,2,2,2,2,4,0,19,4,3,2,1,3,2,21,2,2,2,4,1,0,19,1,4,3,2,3,4,24,1
1976,rav,1,0,2,0,2,0,9,1,0,2,2,1,1,19,2,2,2,1,1,1,16,2,1,2,2,1,0,9,1
1976,sdg,1,1,1,3,1,1,11,2,2,1,1,2,2,14,2,1,1,1,1,1,12,1,0,1,2,2,1,9,0
1976,sea,1,3,3,3,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,sfo,0,2,0,1,1,2,11,1,1,3,2,1,0,10,2,2,0,2,0,1,11,1,1,0,0,2,1,11,1
1976,tam,1,2,2,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,was,0,0,0,0,1,1,9,0,0,0,0,1,1,8,0,0,0,0,0,1,10,0,0,0,0,1,0,9,0
1977,atl,2,1,1,1,1,1,6,1,1,1,1,0,1,10,1,1,1,1,1,2,11,0,1,2,1,2,1,10,0
1977,buf,1,0,2,1,2,1,4,1,2,1,1,1,3,14,1,2,0,1,1,0,12,1,1,1,1,2,0,12,2
1977,chi,1,1,1,0,0,1,5,1,0,1,2,0,1,8,1,1,0,1,1,2,11,2,0,3,0,0,0,10,1
1977,cin,3,1,1,3,1,1,8,2,2,2,2,2,1,13,1,1,3,1,2,2,12,1,1,2,3,2,2,11,1
1977,cle,1,1,0,2,0,0,8,1,0,1,2,1,0,10,1,0,1,1,2,2,12,0,1,0,0,1,1,12,2
1977,dal,1,1,2,1,1,1,7,1,2,3,1,1,1,12,2,1,1,2,1,1,11,2,0,2,2,1,1,11,1
1977,den,1,1,0,1,0,0,6,1,1,0,1,1,0,11,1,1,2,2,2,0,10,1,1,1,1,0,1,8,1
1977,det,0,1,1,1,1,1,6,2,2,2,0,1,0,12,1,1,0,1,0,3,11,1,1,1,0,1,2,10,1
1977,gnb,2,1,1,0,1,1,6,1,0,1,1,1,0,10,0,1,1,1,0,0,10,1,0,0,0,1,2,12,1
1977,kan,1,1,1,4,0,2,8,1,1,3,0,2,3,11,0,1,1,0,0,2,7,1,1,1,1,0,1,10,0
1977,mia,1,1,1,0,2,0,6,2,1,1,1,0,1,14,1,2,1,1,2,1,14,1,3,1,1,1,2,13,0
1977,min,1,1,1,0,1,0,5,1,1,1,1,2,1,10,1,1,0,2,1,1,11,2,2,2,1,1,1,11,1
1977,nor,1,1,1,0,2,2,6,1,1,1,1,1,1,11,2,1,2,2,0,1,10,1,1,0,1,2,0,11,0
1977,nwe,2,2,1,1,0,0,7,3,1,0,0,0,1,11,1,1,1,2,2,0,9,0,2,0,0,2,1,9,3
1977,nyg,1,1,0,1,1,2,7,1,0,0,2,1,1,9,0,1,1,1,0,0,10,1,1,1,1,2,1,11,0
1977,nyj,1,1,1,1,2,1,10,1,1,1,0,1,1,12,0,1,1,0,1,1,10,1,1,2,0,1,2,14,1
1977,oti,1,1,3,1,0,2,6,0,1,0,1,0,1,11,2,1,0,0,0,1,12,0,0,0,1,0,1,8,2
1977,phi,0,0,0,0,1,3,6,0,0,0,1,1,1,12,0,0,0,0,0,0,10,0,0,1,1,2,0,11,2
1977,pit,1,1,2,3,3,1,7,1,3,2,2,1,2,11,1,1,1,1,1,1,15,1,1,0,2,1,2,14,1
1977,rai,0,2,0,1,2,0,4,0,2,1,1,1,0,13,1,1,1,0,1,0,6,1,1,1,1,1,1,10,1
1977,ram,2,3,4,2,4,1,9,2,2,2,2,4,0,19,4,3,2,1,3,2,21,2,2,2,4,1,0,19,1
1977,rav,1,1,0,0,0,1,6,1,0,2,0,2,0,9,1,0,2,2,1,1,19,2,2,2,1,1,1,16,2
1977,sdg,1,0,1,0,2,3,4,1,1,1,3,1,1,11,2,2,1,1,2,2,14,2,1,1,1,1,1,12,1
1977,sea,1,3,1,2,0,1,5,1,3,3,3,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,sfo,0,0,1,1,0,2,4,0,2,0,1,1,2,11,1,1,3,2,1,0,10,2,2,0,2,0,1,11,1
