Team,Year,Actual_Win_Pct,Predicted_Win_Pct,Difference,Primary_Coach,Combined_Coach,Difference_Percentile
RAV,2019,0.875,0.7653386,0.10966140031814575,John Harbaugh,John Harbaugh,96.73202614379085
DEN,1992,0.5,0.39042896,0.10957103967666626,Dan Reeves,Dan Reeves,96.67260843731432
NYG,2022,0.5588,0.44926342,0.10953657631874081,Brian Daboll,Brian Daboll,96.6131907308378
PHI,1995,0.625,0.515612,0.10938799381256104,Ray Rhodes,Ray Rhodes,96.55377302436125
CHI,1987,0.7333,0.62397456,0.10932543830871577,Mike Ditka,Mike Ditka,96.49435531788473
RAM,2004,0.5,0.3910787,0.10892128944396973,,,96.4349376114082
KAN,1997,0.8125,0.7035833,0.10891669988632202,Marty Schottenheimer,Marty Schottenheimer,96.37551990493168
MIA,1981,0.7188,0.61048955,0.10831045274734497,Don Shula,Don Shula,96.31610219845514
ATL,1978,0.5625,0.4551605,0.10733950138092041,Leeman Bennett,Leeman Bennett,96.2566844919786
KAN,1993,0.6875,0.5806643,0.10683572292327881,Marty Schottenheimer,Marty Schottenheimer,96.19726678550208
CLT,1970,0.8214,0.71493316,0.10646684303283693,,,96.13784907902556
HTX,2024,0.5882,0.48230767,0.1058923274993896,DeMeco Ryans,DeMeco Ryans,96.07843137254902
CRD,1981,0.4375,0.33189014,0.10560986399650574,,,96.0190136660725
NOR,1987,0.8,0.69551307,0.10448693037033085,,,95.95959595959596
HTX,2006,0.375,0.27057773,0.10442227125167847,Gary Kubiak,Gary Kubiak,95.90017825311944
TAM,1993,0.3125,0.2083025,0.10419750213623047,Sam Wyche,Sam Wyche,95.8407605466429
SDG,1987,0.5333,0.4295801,0.10371990756988525,Al Saunders,Al Saunders,95.78134284016637
NYG,1994,0.5625,0.45918155,0.10331845283508301,Dan Reeves,Dan Reeves,95.72192513368985
MIA,1989,0.5,0.3971849,0.10281509160995483,Don Shula,Don Shula,95.6625074272133
NWE,1971,0.4286,0.32583696,0.1027630434989929,John Mazur,John Mazur,95.60308972073678
OTI,2011,0.5625,0.45990577,0.10259422659873962,Mike Munchak,Mike Munchak,95.54367201426025
CHI,1985,0.9375,0.835132,0.10236799716949463,Mike Ditka,Mike Ditka,95.48425430778373
GNB,1976,0.3571,0.2547522,0.10234781107902524,Bart Starr,Bart Starr,95.42483660130719
BUF,1993,0.75,0.64778304,0.10221695899963379,Marv Levy,Marv Levy,95.36541889483065
RAM,1979,0.5625,0.46080965,0.10169035196304321,Ray Malavasi,Ray Malavasi,95.30600118835413
DEN,1979,0.625,0.52359885,0.10140115022659302,Red Miller,Red Miller,95.2465834818776
PIT,2017,0.8125,0.7111717,0.10132831335067749,Mike Tomlin,Mike Tomlin,95.18716577540107
SDG,2018,0.75,0.648964,0.10103601217269897,Anthony Lynn,Anthony Lynn,95.12774806892455
SEA,2024,0.5882,0.48717803,0.10102197237014765,Mike Macdonald,Mike Macdonald,95.06833036244801
SFO,1984,0.9375,0.8367043,0.1007956862449646,Bill Walsh,Bill Walsh,95.00891265597147
